Attribute,Const,analyzing data or information,thinking creatively,active learning,complex problem solving,mathematical reasoning,flexibility of closure,written expression,speaking,interpreting the meaning of information for others,establishing and maintaining interpersonal relationships,negotiation,coordination,updating and using relevant knowledge,integrity,initiative,self control,achievement/effort,independence,leadership,provide consultation and advice to others,training and teaching others,"organizing, planning, and prioritizing work",coordinating the work and activities of others,time management
active listening,0.9826826595227227,-0.033499196805145605,-0.010785608525755054,0.08766992717336286,0.08943359683448168,-0.05712677966709705,0.05988315069402129,0.23407559398516525,0.24172029341926937,-0.030579101554592966,0.08582857671098479,0.06965992622532897,0.06072289618873945,0.0678274296887139,0.027482153060405433,-0.028459332917069695,0.10483944233726185,0.04198196304215931,-0.007247121139730613,-0.07756316205835166,0.02492729102517262,-0.029509741244976094,-0.08050872652613006,-0.053535492189274066,-0.006495458468640063
adaptability/flexibility,0.9131900441815168,0.0004954477003613528,0.07954792958913876,-0.06709071279077891,-0.06985364626313241,-0.03288802978735797,0.13090810129424824,0.06935111151238976,-0.13966733136792892,-0.014959111711725495,0.06338641996463211,-0.02385636781048238,0.013720812340807652,-0.033408544421508125,-0.12096321101789728,0.2230967510685317,0.3543005543321473,0.03316374889072904,0.12704560008478194,0.07901139680736094,0.02499530378574495,-0.03987416976431436,0.1224062390593747,0.04868599231832016,-0.008519145773341431
administration and management,0.2107200577570434,0.07439613577040534,-0.117931986601009,-0.15963859482200393,-0.06638887755270036,0.07418124159114194,-0.14587369600239306,0.1357873646545759,0.10679762656091418,-0.14811362211502582,0.02426980764335481,0.1697791403789527,-0.07767601466137415,0.036338534886901676,0.07567098973069586,-0.12292774334363946,-0.2852365552103222,-0.026398812783635647,0.058041905437400766,0.7864730229317676,0.1577658169502115,-0.15090371727670363,0.18216435530105354,0.2244558856181941,0.0005323128994768403
analytical thinking,1.8969461282672033,0.30200685488600004,-0.005875428017038803,0.05052451063277949,0.20496705943887525,0.06860446511432206,-0.04074853644618958,-0.09348342767905067,0.020531237593477778,0.026174505332699185,-0.11172284721883302,-0.06186325759310028,-0.21922189175570742,-0.050715487763088214,0.035269009538377694,0.18403974910471652,0.01811713176314688,0.11321869009875271,0.12329586539666243,-0.04745353481021995,0.11962086336721629,-0.006115050687797266,-0.08445794744998654,0.03689634714764331,0.001969160293063923
arm-hand steadiness,4.615957705642218,-0.3093443242370018,-0.18398541102896582,0.0618040826335547,0.008192700510102263,-0.21011796007986766,0.8017386154075079,-0.6026974217595051,-0.17283127678762458,-0.34758890689893135,-0.00868871444730382,-0.4635030387572517,0.08613638201256568,0.7374205225103737,-0.1614689590893443,-0.0004498235116934899,0.15187043454303384,-0.12496163286959971,0.05154267952391763,-0.08569004553482779,-0.143177983621308,0.045968892074356844,-0.4464675787126535,0.1867108049316706,0.5414140191478479
assisting and caring for others,-5.374077570359191,-0.4707620836907615,-0.24229905383643868,0.13676624988849476,0.2017093890474757,-0.12826559971640678,0.5177337461712535,-0.06665940211129953,0.10652860650970786,-0.24254824177287837,0.5389944937632948,-0.2740460834755153,0.5354299805432444,0.7778249689988234,0.16049992090483614,-0.14692560175003264,0.9364022043804814,-0.16470332550631697,0.4423033347894885,-0.25525121184934985,0.1930390343145676,0.22405704118851277,-0.5020094811944588,-0.11135902908489434,-0.0269317853282942
attention to detail,3.9510378909267265,0.04845535189656517,-0.08740131690926103,-0.032826587277045946,0.03306515034584974,-0.010707956571514285,0.045700150981900285,-0.041433057022600125,-0.056926260917607,-0.08818553439743441,-0.03134151759229822,-0.16220614979331324,-0.021528144026062655,0.1500280766415886,0.038930195253109395,0.016053033882426706,0.13333647963865958,0.2333178343812731,-0.055508847754922645,-0.015463952954442285,0.020752010289638526,-0.1179152826104311,0.008996937336576012,0.06458595807926698,-0.005587605560416509
auditory attention,1.7446503750151137,-0.12791494890073543,-0.04935219134575142,-0.08486356996914604,0.07737872529325684,-0.019151780598500198,0.364562129373525,-0.2604780601189393,0.10904951786674381,-0.02343376340717187,0.024452315065686722,-0.06136720081364273,-0.019506511237308094,0.06312744880934515,0.004783923576316075,-0.06906062481406301,0.11798083102762418,-0.034972880110662075,-0.06672425032742826,-0.020631399988907537,-0.09849414806724513,0.04446549696954647,0.02013719759793356,0.02876890313775298,0.284014579619438
biology,-5.681189415233057,-0.30655376643325954,-0.5179524206887958,0.1813566660809615,0.386606293043678,-0.09375785009620874,0.9385012132884358,0.11796477054419864,0.25122132489740107,-0.047180390044749276,0.2666700055699095,-0.4507665519595716,-0.09969978085990447,1.411609459898143,0.5779959557350409,-0.41630511057555736,-0.3619398924019314,-0.24701828360826977,0.5613421980802071,0.12839624976719327,-0.3162930193103648,0.18874720929634486,-0.7083310234714166,0.49187348893447264,0.14534440733783238
building and construction,3.4217740123372073,-0.18069026917664918,0.08399799095306333,-0.28882207011143657,-0.07058247535484179,0.28416100570591296,0.28694298422565656,-0.14374689714070868,0.24249102358602595,0.0035554818729693384,-0.3031360040052876,0.29867383164663164,-0.5915790482466231,0.007481203270389574,-0.09708000221536171,-0.05653241004974818,-0.11316153226511512,-0.41195509668890395,-0.14240521887165275,0.4308201949506756,0.08142990607535093,-0.11299933750340428,0.16193881326942824,0.45585366913322106,-0.062446629115688934
category flexibility,0.9691599292022959,0.014604442941563633,0.039351663177307844,0.04838136801019166,0.12004240506806312,0.07202750309092414,0.34059289958075867,0.11929377078798865,0.08303959928222364,-0.03929707272955177,0.027554692498698706,-0.009452908904141962,0.09490941423038798,0.039374390365453725,0.08791668588030202,-0.07004543686162279,-0.14438673821581044,-0.054444555723883195,-0.04559972637418795,-0.014515314530193547,0.026764356959782472,-0.007029616344523934,0.04136366595672494,-0.005821917846327651,-0.0426361144465854
chemistry,-0.41368791314016207,-0.24754490990622818,-0.2613253656759207,-0.08601042097161404,0.46115788671020086,0.1272892997814783,0.8239473654588176,-0.14782648244684587,0.35781856080167784,-0.15830264857926696,-0.32300897818767116,-0.19919830378246228,-0.5252927742977295,0.770357477347412,0.5401684654046282,-0.03341051191465602,-0.35609642688430554,-0.4193823798688518,0.057072458909808166,0.16042536484204822,-0.1252788696347297,0.22432989626553312,-0.5129014546783881,0.46683008556692934,0.19494973107644947
clerical,1.800066055013747,-0.16161470161510894,-0.20006744249758887,-0.16398029953035748,-0.1266737780457671,0.022093390824836637,-0.010874789910941015,0.33236003495699035,-0.1838435966739042,0.007518402625997879,0.09068231342854234,0.21135587196761083,-0.02460160438796321,0.019196166332981775,-0.0349124618773119,-0.08296720132603136,0.049538503222491086,-0.22181448941230145,0.3018118466484038,0.2416055740484051,-0.12202499233538516,0.07018554175243925,0.4067581991461016,-0.07547927800516678,-0.08300793364788656
coaching and developing others,-1.2689269030775177,-0.04174941036202796,0.10502046933640051,0.1123138936175948,-0.03334334624566883,0.01810750752267691,-0.03880060468322416,-0.0772909125082997,0.09967070738395006,-0.006536809167870319,0.05841229484359772,-0.01805268295688846,0.09950723177050183,-0.19682151857247832,0.2361644600572897,0.06640038461226297,0.1391062035503559,-0.08666119666307129,-0.09561392713358036,-0.04120963723419996,0.14568813640985717,0.5266972271013239,0.009441494627967364,0.18510499818970022,0.09922143810344873
communicating with persons outside organization,-1.0415108660714987,-0.051199202699550694,0.03762591795611344,-0.2050050376724727,-0.05057793158588278,0.0808619083824863,-0.053624251184069924,0.2513621047801729,0.15400496678990086,0.160105151270683,0.4223946030507995,0.2812590254194762,-0.049818931623273575,0.16267339721158833,0.22648039141214668,-0.10083774535342646,-0.32028642243269306,0.14314353931348306,0.07417357035018107,0.07998403290609296,-0.03801458116901171,-0.24941286515463998,0.12714981502395933,0.28103124884530184,-0.15545912964640266
"communicating with supervisors, peers, or subordinates",2.620308533857863,0.04519622763248507,-0.02780415403873483,-0.029935766757696998,-0.03327353161171729,0.05117974851172195,0.023869092892836972,-0.02019748905246294,-0.25145356252527956,0.11876554943854409,0.25082269568773813,0.014328512446685043,-0.011531811201873122,-0.05181517711153212,0.02920202009900064,-0.010958107011604205,-0.009243792080867654,-0.0980368596147052,-0.1410224250052608,0.10915913334490117,0.020802718538725867,0.0597011864293245,0.30116030333074245,0.11750883987329917,-0.02432862209449854
communications and media,-0.13638957060778045,-0.14679495205033524,0.2545771173602938,0.11843481525020076,-0.32024517784837425,-0.224505728622508,-0.13468125505891107,0.42062048186831674,-0.08766062758113016,0.2655045878482112,0.09893875643577313,-0.05810238642223794,-0.35050479075542185,-0.004318861225876977,-0.2453201944946918,0.3355991758482051,-0.12982933392186097,0.2898716171080847,-0.13974020383884428,0.26037371902036527,-0.09450033981711722,-0.19349069842896077,0.42954171332186963,0.16546975423136442,0.08131416612784395
computers and electronics,4.798732489773938,0.07875317356281755,0.17407386750134762,-0.10291129127673698,0.10183906774013417,0.1605942744004471,-0.1837190641500445,-0.06996890293799884,-0.24285471169929385,-0.09409777675980524,-0.3696728354425596,-0.18234737109792087,-0.06590388201528859,0.36307778072066066,-0.477963039450399,0.08140923639578462,0.05632549466874398,0.062284470829117033,-0.09717259055779442,0.12227563295228133,0.05069258523967856,-0.0468555452984589,0.29420487661738576,-0.10517523898330736,0.12889800170137233
concern for others,-1.356676691425951,-0.27188687888303376,-0.07585362069098936,0.03786894396633109,0.06862706711744114,-0.12600398809909685,0.24541828529586163,0.04759881806106765,-0.007326854501566085,-0.031107879842032754,0.2272882582383957,-0.027435533517557734,0.0634675476885247,0.2082299669975913,0.16473996839137567,-0.18593197656141755,0.6928257556292505,-0.11071096920192193,0.28316284133011255,0.2101829697737524,0.049861361042988675,0.12042744131064893,-0.1639559144630873,-0.06268773304494175,-0.050717034723254506
consequence of error,0.16401990820120282,-0.06348381532691143,-0.3981830150093981,-0.11790540449420293,0.42376542174483156,-0.14450452873057196,0.5226212759087405,-0.5583979029172068,0.2764746552815697,-0.19695486953693592,-0.0905583507070212,-0.06261121395849403,0.12603460328928132,0.7514071769655594,0.23089932771354152,0.053880270052836056,0.28040776217294117,0.09571675081615096,-0.22863275227253355,-0.015294934172761607,0.1424919591909103,-0.1841538542116201,-0.3586630494854265,0.056741151450391984,0.1955034086379981
contact with others,2.7164146535826967,-0.04210690431169367,-0.0862469508001118,-0.015638512916195117,-0.029002861771668234,-0.029542983435619452,-0.037541065900832137,-0.16917054442008855,0.17467129494133468,-0.06135715827805471,0.25553668958231757,0.01858465387074104,0.05680944858255008,0.14752354895024794,-0.00023934727464007197,0.008858231767458646,0.2629230872470022,-0.12120587864796097,-0.06342257195927198,0.202754298619114,-0.08241248256498226,-0.005630386345085465,-0.0569816156856557,-0.03714029435836855,0.10607655322332292
control precision,4.252825286563139,-0.21697636526512895,-0.19306710143785077,-0.19648229143656606,0.13637731257420077,-0.21191409699772656,0.7267836173976557,-0.5004225447521562,-0.017358859585580796,-0.2863131628300558,-0.14501158731320607,-0.2721888165609747,-0.11351397235954686,0.688874377376684,-0.11151637608481178,-0.07455589949069803,0.05545999589751939,-0.03534497526712238,-0.08576113036631125,-0.05134367879465966,-0.11453302772321894,0.002678852799929501,-0.2110115526924833,0.21060432153882358,0.48354099995809174
controlling machines and processes,3.849352988870975,-0.10034983904397207,-0.15285869997908222,-0.24088758395834753,0.1905391808227589,-0.02002294229395718,0.5446887266409167,-0.43341114078471943,0.17118926339236298,-0.3652925117966826,-0.34443835239930976,-0.2660294993561151,-0.2230613796135873,0.6075781670230828,-0.24068556897018803,0.11231702013156136,0.15838308301736054,-0.30925805058749134,-0.11085320012352642,0.03502757292758948,-0.15898223322341082,0.24438936086691734,-0.03642855834329718,0.18205072187196222,0.40870957746168696
cooperation,2.4106174890230108,-0.05601019462643708,-0.008234738081120963,0.02235394284825139,0.00958524125862907,-0.015595976464942748,0.06831164377177745,0.02576886082608676,-0.17993840667645272,-0.011168647903213764,0.11700734627638561,-0.027421537934027407,0.0033034031925444855,0.024891214507768225,-0.0772581585330415,-0.03950226665191932,0.3185987671354884,-0.0748740365002768,0.051699946874956056,0.21246302887762647,0.026567744386100496,-0.013753754235383267,0.10235721572192612,0.06322047621945559,-0.06994342802374871
