O*NET-SOC Code	Title	Importance
25-1032.00	Engineering Teachers, Postsecondary	100.02000000000001
19-2042.00	Geoscientists, Except Hydrologists and Geographers	100.01
11-9199.03	Investment Fund Managers	100.01
25-9021.00	Farm and Home Management Advisors	100.01
19-1029.03	Geneticists	100.01
29-1151.00	Nurse Anesthetists	100.01
11-9039.01	Distance Learning Coordinators	100.01
19-2041.03	Industrial Ecologists	100.01
25-4011.00	Archivists	100.01
17-2171.00	Petroleum Engineers	100.01
19-3022.00	Survey Researchers	100.01
25-1066.00	Psychology Teachers, Postsecondary	100.01
29-1199.05	Orthoptists	100.01
29-1141.02	Advanced Practice Psychiatric Nurses	100.01
19-3051.00	Urban and Regional Planners	100.01
29-1069.02	Dermatologists	100.01
17-2051.00	Civil Engineers	100.00999999999999
25-9031.00	Instructional Coordinators	100.00999999999999
21-1013.00	Marriage and Family Therapists	100.00999999999999
19-1021.00	Biochemists and Biophysicists	100.00999999999999
25-1011.00	Business Teachers, Postsecondary	100.00999999999999
29-2011.01	Cytogenetic Technologists	100.00999999999999
23-1011.00	Lawyers	100.00999999999999
29-1122.00	Occupational Therapists	100.00000000000001
17-2081.00	Environmental Engineers	100.00000000000001
25-1064.00	Geography Teachers, Postsecondary	100.00000000000001
29-1125.02	Music Therapists	100.00000000000001
25-2059.01	Adapted Physical Education Specialists	100.00000000000001
29-1067.00	Surgeons	100.0
19-1029.01	Bioinformatics Scientists	100.0
29-1063.00	Internists, General	100.0
15-2031.00	Operations Research Analysts	100.0
29-9092.00	Genetic Counselors	100.0
25-1051.00	Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary	100.0
17-2112.01	Human Factors Engineers and Ergonomists	100.0
25-1067.00	Sociology Teachers, Postsecondary	100.0
19-3041.00	Sociologists	100.0
29-1069.07	Pathologists	100.0
25-1022.00	Mathematical Science Teachers, Postsecondary	100.0
19-1042.00	Medical Scientists, Except Epidemiologists	100.0
11-3111.00	Compensation and Benefits Managers	100.0
25-1061.00	Anthropology and Archeology Teachers, Postsecondary	100.0
19-2043.00	Hydrologists	100.0
17-2051.01	Transportation Engineers	100.0
19-3099.01	Transportation Planners	100.0
25-1072.00	Nursing Instructors and Teachers, Postsecondary	100.0
29-1069.09	Preventive Medicine Physicians	100.0
27-3041.00	Editors	100.0
19-3031.01	School Psychologists	100.0
29-1127.00	Speech-Language Pathologists	100.0
17-2061.00	Computer Hardware Engineers	100.0
29-1069.03	Hospitalists	100.0
27-3031.00	Public Relations Specialists	100.0
17-2081.01	Water/Wastewater Engineers	100.0
15-2011.00	Actuaries	100.0
25-1125.00	History Teachers, Postsecondary	100.0
29-2011.02	Cytotechnologists	100.0
21-1022.00	Healthcare Social Workers	100.0
11-9039.02	Fitness and Wellness Coordinators	100.0
15-2041.01	Biostatisticians	100.0
19-3031.03	Counseling Psychologists	100.0
11-9033.00	Education Administrators, Postsecondary	100.0
25-1113.00	Social Work Teachers, Postsecondary	100.0
17-2031.00	Biomedical Engineers	100.0
13-2099.02	Risk Management Specialists	100.0
29-9091.00	Athletic Trainers	100.0
19-1012.00	Food Scientists and Technologists	100.0
25-1193.00	Recreation and Fitness Studies Teachers, Postsecondary	100.0
19-1041.00	Epidemiologists	100.0
25-1081.00	Education Teachers, Postsecondary	100.0
13-1041.07	Regulatory Affairs Specialists	100.0
17-2021.00	Agricultural Engineers	100.0
13-1111.00	Management Analysts	100.0
29-1024.00	Prosthodontists	100.0
15-2041.00	Statisticians	100.0
29-1069.08	Physical Medicine and Rehabilitation Physicians	100.0
13-2099.01	Financial Quantitative Analysts	100.0
29-1131.00	Veterinarians	100.0
11-3031.01	Treasurers and Controllers	100.0
19-3039.01	Neuropsychologists and Clinical Neuropsychologists	100.0
17-1011.00	Architects, Except Landscape and Naval	100.0
13-2011.02	Auditors	100.0
29-1071.00	Physician Assistants	100.0
19-1020.01	Biologists	100.0
29-1069.11	Sports Medicine Physicians	100.0
19-3031.02	Clinical Psychologists	100.0
29-1022.00	Oral and Maxillofacial Surgeons	100.0
25-2053.00	Special Education Teachers, Middle School	100.0
25-1124.00	Foreign Language and Literature Teachers, Postsecondary	100.0
17-2141.01	Fuel Cell Engineers	100.0
17-2199.09	Nanosystems Engineers	100.0
17-2041.00	Chemical Engineers	100.0
11-9121.02	Water Resource Specialists	100.0
19-3011.00	Economists	100.0
