DWP,ONET,SOC-CODE
mobile phone repair technician,"mobile heavy equipment mechanics, except engines",49-3042.00
mobile phone repair technician,manufactured building and mobile home installers,49-9095.00
mobile phone repair technician,"helpers--installation, maintenance, and repair workers",49-9098.00
mobile phone repair technician,"installation, maintenance, and repair workers, all other",49-9099.00
mobile phone repair technician,"maintenance and repair workers, general",49-9071.00
system analyst,methane/landfill gas collection system operators,11-3051.05
system analyst,"petroleum pump system operators, refinery operators, and gaugers",51-8093.00
system analyst,"plant and system operators, all other",51-8099.00
system analyst,public address system and other announcers,27-3012.00
system analyst,methane/landfill gas generation system technicians,51-8099.02
system analyst,chemical plant and system operators,51-8091.00
system analyst,water and wastewater treatment plant and system operators,51-8031.00
product manager,product safety engineers,17-2111.03
product manager,demonstrators and product promoters,41-9011.00
product manager,biofuels/biodiesel technology and product development managers,11-9041.01
systems analyst,solar energy systems engineers,17-2199.11
systems analyst,"software developers, systems software",15-1133.00
systems analyst,"aircraft structure, surfaces, rigging, and systems assemblers",51-2011.00
systems analyst,computer systems engineers/architects,15-1199.02
systems analyst,quality control systems managers,11-3051.01
systems analyst,security and fire alarm systems installers,49-2098.00
systems analyst,network and computer systems administrators,15-1142.00
systems analyst,geographic information systems technicians,15-1199.05
systems analyst,"transportation vehicle, equipment and systems inspectors, except aviation",53-6051.07
systems analyst,computer systems analysts,15-1121.00
systems analyst,computer and information systems managers,11-3021.00
business analyst,"business teachers, postsecondary",25-1011.00
business analyst,"agents and business managers of artists, performers, and athletes",13-1011.00
business analyst,business continuity planners,13-1199.04
business analyst,business intelligence analysts,15-1199.08
business analyst,"business operations specialists, all other",13-1199.00
it support engineer,computer network support specialists,15-1152.00
it support engineer,"legal support workers, all other",23-2099.00
it support engineer,"office and administrative support workers, all other",43-9199.00
it support engineer,"healthcare support workers, all other",31-9099.00
it support engineer,first-line supervisors of office and administrative support workers,43-1011.00
it support engineer,computer user support specialists,15-1151.00
software engineer,"software developers, systems software",15-1133.00
software engineer,"software developers, systems software",15-1133.00
software engineer,"software developers, applications",15-1132.00
software engineer,software quality assurance engineers and testers,15-1199.01
data architect,clinical data managers,15-2041.02
data architect,data entry keyers,43-9021.00
data architect,geophysical data technicians,19-4041.01
data architect,data warehousing specialists,15-1199.07
data engineer,clinical data managers,15-2041.02
data engineer,data entry keyers,43-9021.00
data engineer,geophysical data technicians,19-4041.01
data engineer,data warehousing specialists,15-1199.07
it business development manager,"business teachers, postsecondary",25-1011.00
it business development manager,"agents and business managers of artists, performers, and athletes",13-1011.00
it business development manager,business continuity planners,13-1199.04
it business development manager,business intelligence analysts,15-1199.08
it business development manager,"business operations specialists, all other",13-1199.00
it business development manager,training and development managers,11-3131.00
it business development manager,biofuels/biodiesel technology and product development managers,11-9041.01
it business development manager,training and development specialists,13-1151.00
data administrator,clinical data managers,15-2041.02
data administrator,data entry keyers,43-9021.00
data administrator,geophysical data technicians,19-4041.01
data administrator,data warehousing specialists,15-1199.07
data analyst,clinical data managers,15-2041.02
data analyst,data entry keyers,43-9021.00
data analyst,geophysical data technicians,19-4041.01
data analyst,data warehousing specialists,15-1199.07
data scientist,clinical data managers,15-2041.02
data scientist,data entry keyers,43-9021.00
data scientist,geophysical data technicians,19-4041.01
data scientist,data warehousing specialists,15-1199.07
network engineer,computer network architects,15-1143.00
network engineer,computer network support specialists,15-1152.00
network engineer,network and computer systems administrators,15-1142.00
database administrator,database administrators,15-1141.00
database administrator,database architects,15-1199.06
service desk analyst,postal service mail carriers,43-5052.00
service desk analyst,funeral service managers,11-9061.00
service desk analyst,motorboat mechanics and service technicians,49-3051.00
